@attribute Summary string
@attribute measureExtraArcs numeric
@attribute measureMissingArcs numeric
@attribute measureReversedArcs numeric
@attribute measureDivergence numeric
@attribute measureBayesScore numeric
@attribute measureBDeuScore numeric
@attribute measureMDLScore numeric
@attribute measureAICScore numeric
@attribute measureEntropyScore numeric

@data

communities.data,1,10,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20091208.0219,1795,199,177,22,0,88.944724,11.055276,0,0.669285,0.111166,0.330839,36.558507,85.03642,137.88723,1699.422623,-1561.535393,0.692901,8.539812,-7.846912,78.060944,0.392266,11192.152475,0.901235,146,0.162162,6,0.837838,31,0.098765,16,0.960526,0.901235,0.929936,0.907741,0.889447,0.150375,0.849625,0.110553,0.90457,0.889447,0.894267,0.906252,0.081,0.019,0.078125,0.015625,112124,1599260,237872,?,?,?,?,?,?,?,?,?,?
communities.data,2,1,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20091208.0219,1794,200,167,33,0,83.5,16.5,0,0.499241,0.155061,0.383412,50.617803,97.732361,140.29955,1081.345339,-941.045789,0.701498,5.406727,-4.705229,56.111702,0.280559,8056.16187,0.876543,142,0.342105,13,0.657895,25,0.123457,20,0.916129,0.876543,0.895899,0.901884,0.835,0.300562,0.699438,0.165,0.84762,0.835,0.840136,0.900495,0.078,0.02,0.078125,0,112124,1598407,238725,?,?,?,?,?,?,?,?,?,?
communities.data,2,2,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20091208.0219,1794,200,161,39,0,80.5,19.5,0,0.477072,0.193886,0.432431,63.291738,110.227487,140.29955,1729.102236,-1588.802686,0.701498,8.645511,-7.944013,34.76091,0.173805,4990.750665,0.814815,132,0.236842,9,0.763158,29,0.185185,30,0.93617,0.814815,0.871287,0.885965,0.805,0.227027,0.772973,0.195,0.851688,0.805,0.819351,0.885132,0.078,0.019,0.078125,0.03125,112124,1598407,238725,?,?,?,?,?,?,?,?,?,?
communities.data,2,3,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20091208.0219,1794,200,164,36,0,82,18,0,0.50495,0.175364,0.412589,57.245699,105.169684,140.29955,2190.446938,-2050.147388,0.701498,10.952235,-10.250737,44.342026,0.22171,6366.346427,0.833333,135,0.236842,9,0.763158,29,0.166667,27,0.9375,0.833333,0.882353,0.876218,0.82,0.223509,0.776491,0.18,0.857768,0.82,0.83194,0.875354,0.082,0.021,0.09375,0.015625,112124,1598407,238725,?,?,?,?,?,?,?,?,?,?
communities.data,2,4,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20091208.0219,1794,200,165,35,0,82.5,17.5,0,0.530705,0.170416,0.405714,55.630249,103.417139,140.29955,2760.313891,-2620.014341,0.701498,13.801569,-13.100072,47.112274,0.235561,6764.08113,0.82716,134,0.184211,7,0.815789,31,0.17284,28,0.950355,0.82716,0.884488,0.914474,0.825,0.18205,0.81795,0.175,0.869618,0.825,0.837879,0.913579,0.08,0.019,0.078125,0.015625,112124,1598407,238725,?,?,?,?,?,?,?,?,?,?
communities.data,2,5,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20091208.0219,1795,199,168,31,0,84.422111,15.577889,0,0.562885,0.160487,0.39199,52.778407,100.754037,137.88723,2408.053037,-2270.165807,0.692901,12.100769,-11.407868,51.913106,0.26087,7443.150985,0.851852,138,0.189189,7,0.810811,30,0.148148,24,0.951724,0.851852,0.899023,0.904905,0.844221,0.181558,0.818442,0.155779,0.878065,0.844221,0.854459,0.904843,0.08,0.019,0.078125,0.015625,112124,1599260,237872,?,?,?,?,?,?,?,?,?,?
communities.data,2,6,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20091208.0219,1795,199,175,24,0,87.939698,12.060302,0,0.658564,0.125537,0.343729,41.284456,88.349639,137.88723,1629.080055,-1491.192825,0.692901,8.186332,-7.493431,70.518919,0.354366,10110.798646,0.876543,142,0.108108,4,0.891892,33,0.123457,20,0.972603,0.876543,0.922078,0.921588,0.879397,0.110962,0.889038,0.120603,0.907535,0.879397,0.886985,0.920332,0.08,0.022,0.078125,0.03125,112124,1599260,237872,?,?,?,?,?,?,?,?,?,?
communities.data,2,7,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20091208.0219,1795,199,167,32,0,83.919598,16.080402,0,0.536468,0.164392,0.39424,54.062595,101.332547,137.88723,1573.901854,-1436.014624,0.692901,7.909055,-7.216154,47.981364,0.241112,6879.429145,0.858025,139,0.243243,9,0.756757,28,0.141975,23,0.939189,0.858025,0.896774,0.873373,0.839196,0.224415,0.775585,0.160804,0.866645,0.839196,0.848356,0.875141,0.08,0.016,0.078125,0.015625,112124,1599260,237872,?,?,?,?,?,?,?,?,?,?
communities.data,2,8,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20091208.0219,1795,199,170,29,0,85.427136,14.572864,0,0.598204,0.146441,0.379211,48.159271,97.469464,137.88723,1218.861641,-1080.974411,0.692901,6.124933,-5.432032,58.528,0.294111,8391.575343,0.851852,138,0.135135,5,0.864865,32,0.148148,24,0.965035,0.851852,0.904918,0.912412,0.854271,0.137555,0.862445,0.145729,0.891852,0.854271,0.864619,0.914692,0.08,0.02,0.078125,0.015625,112124,1599260,237872,?,?,?,?,?,?,?,?,?,?
communities.data,2,9,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20091208.0219,1795,199,169,30,0,84.924623,15.075377,0,0.549026,0.153161,0.387153,50.369232,99.5108,137.88723,2110.610722,-1972.723493,0.692901,10.606084,-9.913183,55.248153,0.277629,7921.320346,0.876543,142,0.27027,10,0.72973,27,0.123457,20,0.934211,0.876543,0.904459,0.901318,0.849246,0.242973,0.757027,0.150754,0.867324,0.849246,0.855819,0.900868,0.078,0.017,0.078125,0.015625,112124,1599260,237872,?,?,?,?,?,?,?,?,?,?
