@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Summary {'Number of rules: 4\n','Number of rules: 3\n','Number of rules: 5\n','Number of rules: 6\n','Number of rules: 2\n'}
@attribute measureNumRules numeric
@attribute measurePercentAttsUsedByDT numeric

@data

communities.data,1,10,weka.classifiers.rules.ZeroR,'',48055541465867954,20091207.0818,1795,199,162,37,0,81.407035,18.592965,0,0,0.304077,0.389056,100,100,137.88723,137.88723,0,0.692901,0.692901,0,0,0,0,1,162,1,37,0,0,0,0,0.81407,1,0.897507,0.5,0.81407,0.81407,0.18593,0.18593,0.662711,0.81407,0.730634,0.5,0,0.001,0,0,1223,1599260,237872,?,?,?
communities.data,2,1,weka.classifiers.rules.ZeroR,'',48055541465867954,20091207.0818,1794,200,162,38,0,81,19,0,0,0.306336,0.392308,100,100,140.29955,140.29955,0,0.701498,0.701498,0,0,0,0,1,162,1,38,0,0,0,0,0.81,1,0.895028,0.5,0.81,0.81,0.19,0.19,0.6561,0.81,0.724972,0.5,0.001,0,0,0,1223,1598407,238725,?,?,?
communities.data,2,2,weka.classifiers.rules.ZeroR,'',48055541465867954,20091207.0818,1794,200,162,38,0,81,19,0,0,0.306336,0.392308,100,100,140.29955,140.29955,0,0.701498,0.701498,0,0,0,0,1,162,1,38,0,0,0,0,0.81,1,0.895028,0.5,0.81,0.81,0.19,0.19,0.6561,0.81,0.724972,0.5,0.001,0,0,0,1223,1598407,238725,?,?,?
communities.data,2,3,weka.classifiers.rules.ZeroR,'',48055541465867954,20091207.0818,1794,200,162,38,0,81,19,0,0,0.306336,0.392308,100,100,140.29955,140.29955,0,0.701498,0.701498,0,0,0,0,1,162,1,38,0,0,0,0,0.81,1,0.895028,0.5,0.81,0.81,0.19,0.19,0.6561,0.81,0.724972,0.5,0,0.001,0,0,1223,1598407,238725,?,?,?
communities.data,2,4,weka.classifiers.rules.ZeroR,'',48055541465867954,20091207.0818,1794,200,162,38,0,81,19,0,0,0.306336,0.392308,100,100,140.29955,140.29955,0,0.701498,0.701498,0,0,0,0,1,162,1,38,0,0,0,0,0.81,1,0.895028,0.5,0.81,0.81,0.19,0.19,0.6561,0.81,0.724972,0.5,0,0,0,0,1223,1598407,238725,?,?,?
communities.data,2,5,weka.classifiers.rules.ZeroR,'',48055541465867954,20091207.0818,1795,199,162,37,0,81.407035,18.592965,0,0,0.304077,0.389056,100,100,137.88723,137.88723,0,0.692901,0.692901,0,0,0,0,1,162,1,37,0,0,0,0,0.81407,1,0.897507,0.5,0.81407,0.81407,0.18593,0.18593,0.662711,0.81407,0.730634,0.5,0.001,0,0,0,1223,1599260,237872,?,?,?
communities.data,2,6,weka.classifiers.rules.ZeroR,'',48055541465867954,20091207.0818,1795,199,162,37,0,81.407035,18.592965,0,0,0.304077,0.389056,100,100,137.88723,137.88723,0,0.692901,0.692901,0,0,0,0,1,162,1,37,0,0,0,0,0.81407,1,0.897507,0.5,0.81407,0.81407,0.18593,0.18593,0.662711,0.81407,0.730634,0.5,0,0.001,0,0,1223,1599260,237872,?,?,?
communities.data,2,7,weka.classifiers.rules.ZeroR,'',48055541465867954,20091207.0818,1795,199,162,37,0,81.407035,18.592965,0,0,0.304077,0.389056,100,100,137.88723,137.88723,0,0.692901,0.692901,0,0,0,0,1,162,1,37,0,0,0,0,0.81407,1,0.897507,0.5,0.81407,0.81407,0.18593,0.18593,0.662711,0.81407,0.730634,0.5,0,0.001,0,0,1223,1599260,237872,?,?,?
communities.data,2,8,weka.classifiers.rules.ZeroR,'',48055541465867954,20091207.0818,1795,199,162,37,0,81.407035,18.592965,0,0,0.304077,0.389056,100,100,137.88723,137.88723,0,0.692901,0.692901,0,0,0,0,1,162,1,37,0,0,0,0,0.81407,1,0.897507,0.5,0.81407,0.81407,0.18593,0.18593,0.662711,0.81407,0.730634,0.5,0,0,0,0,1223,1599260,237872,?,?,?
communities.data,2,9,weka.classifiers.rules.ZeroR,'',48055541465867954,20091207.0818,1795,199,162,37,0,81.407035,18.592965,0,0,0.304077,0.389056,100,100,137.88723,137.88723,0,0.692901,0.692901,0,0,0,0,1,162,1,37,0,0,0,0,0.81407,1,0.897507,0.5,0.81407,0.81407,0.18593,0.18593,0.662711,0.81407,0.730634,0.5,0,0,0,0,1223,1599260,237872,?,?,?
