@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Summary {'Number of leaves: 3\nSize of the tree: 5\n','Number of leaves: 6\nSize of the tree: 11\n','Number of leaves: 8\nSize of the tree: 15\n','Number of leaves: 11\nSize of the tree: 21\n','Number of leaves: 2\nSize of the tree: 3\n','Number of leaves: 4\nSize of the tree: 7\n','Number of leaves: 5\nSize of the tree: 9\n','Number of leaves: 17\nSize of the tree: 33\n','Number of leaves: 10\nSize of the tree: 19\n','Number of leaves: 16\nSize of the tree: 31\n','Number of leaves: 7\nSize of the tree: 13\n','Number of leaves: 9\nSize of the tree: 17\n','Number of leaves: 20\nSize of the tree: 39\n','Number of leaves: 12\nSize of the tree: 23\n','Number of leaves: 23\nSize of the tree: 45\n','Number of leaves: 224\nSize of the tree: 447\n','Number of leaves: 71\nSize of the tree: 141\n','Number of leaves: 22\nSize of the tree: 43\n','Number of leaves: 318\nSize of the tree: 635\n','Number of leaves: 15\nSize of the tree: 29\n','Number of leaves: 146\nSize of the tree: 291\n','Number of leaves: 24\nSize of the tree: 47\n','Number of leaves: 38\nSize of the tree: 75\n','Number of leaves: 21\nSize of the tree: 41\n','Number of leaves: 57\nSize of the tree: 113\n','Number of leaves: 19\nSize of the tree: 37\n','Number of leaves: 58\nSize of the tree: 115\n','Number of leaves: 232\nSize of the tree: 463\n','Number of leaves: 14\nSize of the tree: 27\n','Number of leaves: 34\nSize of the tree: 67\n','Number of leaves: 166\nSize of the tree: 331\n','Number of leaves: 36\nSize of the tree: 71\n','Number of leaves: 472\nSize of the tree: 943\n','Number of leaves: 69\nSize of the tree: 137\n','Number of leaves: 238\nSize of the tree: 475\n','Number of leaves: 18\nSize of the tree: 35\n','Number of leaves: 63\nSize of the tree: 125\n','Number of leaves: 30\nSize of the tree: 59\n','Number of leaves: 79\nSize of the tree: 157\n','Number of leaves: 213\nSize of the tree: 425\n','Number of leaves: 31\nSize of the tree: 61\n','Number of leaves: 26\nSize of the tree: 51\n','Number of leaves: 73\nSize of the tree: 145\n','Number of leaves: 29\nSize of the tree: 57\n','Number of leaves: 188\nSize of the tree: 375\n','Number of leaves: 363\nSize of the tree: 725\n','Number of leaves: 94\nSize of the tree: 187\n','Number of leaves: 49\nSize of the tree: 97\n','Number of leaves: 56\nSize of the tree: 111\n','Number of leaves: 13\nSize of the tree: 25\n','Number of leaves: 28\nSize of the tree: 55\n','Number of leaves: 25\nSize of the tree: 49\n','Number of leaves: 61\nSize of the tree: 121\n','Number of leaves: 223\nSize of the tree: 445\n','Number of leaves: 100\nSize of the tree: 199\n','Number of leaves: 137\nSize of the tree: 273\n','Number of leaves: 311\nSize of the tree: 621\n','Number of leaves: 108\nSize of the tree: 215\n','Number of leaves: 186\nSize of the tree: 371\n','Number of leaves: 55\nSize of the tree: 109\n','Number of leaves: 59\nSize of the tree: 117\n','Number of leaves: 39\nSize of the tree: 77\n','Number of leaves: 35\nSize of the tree: 69\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumPredictionLeaves numeric
@attribute measureNodesExpanded numeric
@attribute measureExamplesProcessed numeric
@attribute measureNumRules numeric
@attribute measureOutOfBagError numeric

@data

communities.data,2,1,weka.classifiers.trees.ADTree,'-B 10 -E -3',-1532264837167690683,20091208.0244,1794,200,178,22,0,89,11,0,0.593496,0.202436,0.298549,66.082795,76.100771,140.29955,82.678209,57.621341,0.701498,0.413391,0.288107,36.822361,0.184112,5286.720816,0.969136,157,0.447368,17,0.552632,21,0.030864,5,0.902299,0.969136,0.934524,0.922596,0.89,0.368233,0.631767,0.11,0.884324,0.89,0.881652,0.922596,2.414,0,2.390625,0,70367,1598407,238725,?,31,21,14,79,63154,?,?
communities.data,2,2,weka.classifiers.trees.ADTree,'-B 10 -E -3',-1532264837167690683,20091208.0244,1794,200,172,28,0,86,14,0,0.526066,0.21219,0.305776,69.267092,77.942949,140.29955,83.942637,56.356913,0.701498,0.419713,0.281785,30.719267,0.153596,4410.477206,0.925926,150,0.421053,16,0.578947,22,0.074074,12,0.903614,0.925926,0.914634,0.918535,0.86,0.355127,0.644873,0.14,0.854869,0.86,0.856965,0.918535,2.72,0.001,2.5625,0,70367,1598407,238725,?,31,21,14,83,67820,?,?
communities.data,2,3,weka.classifiers.trees.ADTree,'-B 10 -E -3',-1532264837167690683,20091208.0244,1794,200,174,26,0,87,13,0,0.508321,0.200725,0.312771,65.524485,79.725828,140.29955,94.182362,46.117188,0.701498,0.470912,0.230586,33.83347,0.169167,4857.594795,0.962963,156,0.526316,20,0.473684,18,0.037037,6,0.886364,0.962963,0.923077,0.882391,0.87,0.433353,0.566647,0.13,0.860455,0.87,0.858015,0.882391,2.761,0,2.59375,0,70367,1598407,238725,?,31,21,14,84,68554,?,?
communities.data,2,4,weka.classifiers.trees.ADTree,'-B 10 -E -3',-1532264837167690683,20091208.0244,1794,200,174,26,0,87,13,0,0.530347,0.210714,0.304798,68.785262,77.693547,140.29955,84.96216,55.33739,0.701498,0.424811,0.276687,31.39904,0.156995,4508.074713,0.950617,154,0.473684,18,0.526316,20,0.049383,8,0.895349,0.950617,0.922156,0.910819,0.87,0.393067,0.606933,0.13,0.860947,0.87,0.862098,0.910819,3.252,0,2.96875,0,70365,1598407,238725,?,31,21,15,98,77291,?,?
communities.data,2,5,weka.classifiers.trees.ADTree,'-B 10 -E -3',-1532264837167690683,20091208.0244,1795,199,174,25,0,87.437186,12.562814,0,0.589284,0.218447,0.305989,71.839217,78.649171,137.88723,84.919689,52.967541,0.692901,0.426732,0.266169,24.606158,0.123649,3527.959725,0.919753,149,0.324324,12,0.675676,25,0.080247,13,0.925466,0.919753,0.922601,0.918252,0.874372,0.278943,0.721057,0.125628,0.875716,0.874372,0.875015,0.918252,2.594,0.001,2.59375,0,70367,1599260,237872,?,31,21,14,83,67670,?,?
communities.data,2,6,weka.classifiers.trees.ADTree,'-B 10 -E -3',-1532264837167690683,20091208.0244,1795,199,179,20,0,89.949749,10.050251,0,0.668001,0.207197,0.288624,68.139536,74.185668,137.88723,81.390797,56.496433,0.692901,0.408999,0.283902,35.792434,0.179861,5131.815747,0.938272,152,0.27027,10,0.72973,27,0.061728,10,0.938272,0.938272,0.938272,0.937855,0.899497,0.231496,0.768504,0.100503,0.899497,0.899497,0.899497,0.937855,2.704,0,2.5,0,70367,1599260,237872,?,31,21,14,90,67593,?,?
communities.data,2,7,weka.classifiers.trees.ADTree,'-B 10 -E -3',-1532264837167690683,20091208.0244,1795,199,179,20,0,89.949749,10.050251,0,0.645844,0.207379,0.304412,68.199363,78.243787,137.88723,87.593503,50.293727,0.692901,0.440168,0.252732,29.671377,0.149102,4254.196171,0.95679,155,0.351351,13,0.648649,24,0.04321,7,0.922619,0.95679,0.939394,0.909076,0.899497,0.294059,0.705941,0.100503,0.895022,0.899497,0.895977,0.909076,2.417,0,2.375,0,70470,1599260,237872,?,31,21,14,75,63166,?,?
communities.data,2,8,weka.classifiers.trees.ADTree,'-B 10 -E -3',-1532264837167690683,20091208.0244,1795,199,180,19,0,90.452261,9.547739,0,0.667253,0.216845,0.304955,71.312582,78.383311,137.88723,87.58778,50.299449,0.692901,0.44014,0.252761,23.364458,0.117409,3349.928428,0.95679,155,0.324324,12,0.675676,25,0.04321,7,0.928144,0.95679,0.942249,0.917918,0.904523,0.272057,0.727943,0.095477,0.900832,0.904523,0.901789,0.917918,2.485,0.001,2.3125,0,70367,1599260,237872,?,31,21,14,81,61659,?,?
communities.data,2,9,weka.classifiers.trees.ADTree,'-B 10 -E -3',-1532264837167690683,20091208.0244,1795,199,173,26,0,86.934673,13.065327,0,0.549617,0.211793,0.312347,69.651113,80.283416,137.88723,85.511788,52.375442,0.692901,0.429707,0.263193,26.950404,0.135429,3864.070949,0.932099,151,0.405405,15,0.594595,22,0.067901,11,0.909639,0.932099,0.920732,0.901151,0.869347,0.342653,0.657347,0.130653,0.864463,0.869347,0.86641,0.901151,2.523,0,2.375,0,70367,1599260,237872,?,31,21,14,77,62602,?,?
communities.data,2,10,weka.classifiers.trees.ADTree,'-B 10 -E -3',-1532264837167690683,20091208.0244,1795,199,169,30,0,84.924623,15.075377,0,0.468767,0.227963,0.326752,74.968795,83.985833,137.88723,96.18343,41.7038,0.692901,0.483334,0.209567,16.77089,0.084276,2404.561736,0.925926,150,0.486486,18,0.513514,19,0.074074,12,0.892857,0.925926,0.909091,0.87988,0.849246,0.409807,0.590193,0.150754,0.840805,0.849246,0.843966,0.87988,1.99,0,2,0,70367,1599260,237872,?,31,21,14,77,52932,?,?
